reg_id,reg_name
HOUSA000135172023,KRONHILL MAETRIX
HOUSA000061765138,CLEAR-ECHO BEST TECH-ET
HOUSA000061681229,DE-SU OMAN GOLI-ET
HOUSA000135799037,SANDY-VALLEY ATTACK-ET
HOHUN003287001250,ALCSI LUCKY BOY-ET
HOUSA000135363258,DARLAWN SPIRIT
HOUSA000135871119,LACLAR ARICK-ET
HOUSA000061143517,KLASSIC LABRON-ET
HOUSA000061701303,KEVREL MORTY MODESTO
HOUSA000063645005,MEADO-BROOK JS MCKINLEY-ET
HOUSA000063644992,MEADO-BROOK JS CHURCHILL-ET
HOUSA000063644995,MEADO-BROOK JS HUBBARD-ET
HOUSA000063645004,MEADO-BROOK JS BEAR-ET
HOUSA000136170417,O-BEE BARKLY
HOUSA000062711203,LATUCH ELEGANT TORO-ET
HOUSA000061376287,CO-OP RAMOS MELVIN
HOUSA000061077066,MR STORMATIC DAVONTA-ET
HOUSA000063813212,CANON JET STREAM GUNTHER
HOUSA000060700493,HENKESEEN HELPER
HOUSA000135834972,LOCKER-LANE BRANSON-ET
HOUSA000066959378,CACHE-VALLEY AD DEZI-ET
HOUSA000062030835,BOOTSMA SOSA VERDIGO CRI-ET
HOUSA000061790431,SEWARDS-FOLLY TIGER-ET
HOUSA000134605702,SPRUCE-VIEW MORTY FORMAN
HOUSA000061790446,SEWARDS-FOLLY GERONIMO-ET
HOUSA000061691892,FOREST-LAWN TALENT PRIZE-ET
HOUSA000135553183,MARKWELL MORTY REGENCY-ET
HOUSA000135635461,ALL-RIEHL PATTIN-ET
HOUSA000062487796,FOREST-LAWN PRINCE-ET
HOCAN000007484448,GREENLEA-I ROCKY-RED-ET
HOUSA000062252901,SWEET-PEAS FUSION-RED-ET
HOUSA000061720237,HAVENCREST KOJAK-RED-ET
HOUSA000063537282,SWEET-PEAS FOKKER-RED-ET
HOUSA000136684235,CAR-MUL-CREEK HELIX-RED-ET
HOUSA000061835784,HAPPKE OMAN MAGIC-ET
HOUSA000135161566,MR MONACO-ET
HOUSA000062934007,GREEN-MEADOW KEGAN 13398-ET
HOUSA000062816993,TOLLENAARS ALTATUFENUF-ET
HOUSA000064557658,HOL-STAR BAXTER TORRENT-ET
HO840003006030026,ARIWAMI NEPTUNE-ET
HOUSA000064529556,LORAWAE SHOTTLE SHOUT
HOUSA000135503441,BRANDT-VIEW SOLDIER-ET
HOUSA000136542553,BREMER LAUDAN ROCKET-ET
HOUSA000136814234,BREMER MR SAM RAZZLE-ET
HOUSA000136814252,BREMER SHOWERS-ET
HOUSA000064577610,LEAS DUNDEE LONNIE
HOUSA000062968891,WINDY-KNOLL-VIEW PLAID-ET
HOUSA000134017828,ZIEMS STORMATIC IIGWAM
HOUSA000061077124,PALMEREGAN TRACE-ET
HOUSA000068574430,HOLLANDYA RED SOX-RED-ET
HOUSA000053451987,RALMA MAC GRANITE-ET
HOUSA000140296893,ANY-DAY JEEVES PRICELINE
HOUSA000068574425,HOLLANDYA CHARGER-RED-ET
HOUSA000137754731,ROSEDALE TOUCHDOWN-RED
HOUSA000063938521,KIRBYVILLE MALUEY-ET
HOUSA000065671567,MR PENCE-ET
HONLD000433561699,SAMSON-ET
HOUSA000068775936,COOK-FARM GOLDWYN FAN-ET
HOUSA000064775396,COOK-FARM BOLTON FYI
HOUSA000064356645,BBMM TOYSTORY LEXUS-ET
HOUSA000064356644,BBMM TOYSTORY LUXOR-ET
HOUSA000136946937,PREMIER-S SS TRIX-RED-ET
HOUSA000138817420,HUNSBERGER MAC FITZGERALD
HOUSA000065439080,WEBB-VUE BAXTER LUCIANO-TW
HOUSA000069468833,RMW DORCY AMBROSE-ET
HOUSA000069468812,RWM PEMBROKE ALPS-ET
HOUSA000056541503,GIL-GAR DOMAIN WEB-ET
HOUSA000056295599,GIL-GAR ALTATYRONE
HOUSA000066870178,WEBB-VUE JEEVES&WOOSTER-ET
HOUSA000062744597,REGANCREST MAC IRENDON-ET
HOUSA000064178065,REGEL NAIROBI
HOUSA000066985592,RMW ANTWAN-ET
HO840003007815953,VER-HAGES VV NICODEMUS-ET
HOUSA000069822409,WELCOME TRIG GRAHAM-ET
HOUSA000069080966,HUNSBERGER DOUGLAS-ET
HOUSA000069056737,RMW ATLANTIS-ET
HOUSA000066401838,CURR-VALE DESTINED-ET
HOUSA000066985571,UNICORN MILLION ABERLIN-ET
HOUSA000066870250,WEBB-VUE BOGART DREW-ET
HOUSA000139808575,GIL-GAR SHOTL MADOFF-ET
HOUSA000056496692,GIL-GAR DOMAIN WENDL-ET
HOUSA000140878943,GNAT-HILL MICKEY-ET
HOUSA000069468811,RMW PEMBROKE APPLY-ET
HOUSA000069056729,RMW ARMITAGE
HOUSA000062385508,SEWARDS-FOLLY DEFENDER-ET
HOUSA000136297387,SILDAHL BREMER MAGNUM
HOUSA000135880366,ROKEYROAD TITANIC RAMBO
HOUSA000062385526,SEWARDS-FOLLY AGENT-ET
HOUSA000135297562,SANDY-VALLEY THOMASO
HOUSA000063395162,HAPSTEIN TOYSTO NITSCHKE-ET
HOUSA000062909487,AIR-OSA STORMATIC REWARD
HOUSA000140804016,MEDEIROS TALENT FLEET
HOUSA000062855743,HAPSTEIN SS STARR-ET
HOUSA000063719854,LE-O-LA TAVON-ET
HOUSA000061757554,WELCOME GRATTIE-ET
HOUSA000063285267,CO-OP MANAGER PRACTICAL-ET
HOUSA000136192057,LADYS-MANOR OMEN-ET
HOUSA000063657337,CARL-A RAMOS EARL-ET
HOUSA000138486691,JUNGE MASCOL EDGE-ET
HOUSA000138486703,JUNGE MASCOL ELMO-ET
HOUSA000062769066,A-ELSBERND TOLEDO CRI-ET
HOUSA000137688102,A-ELSBERND MASCOL MARKUS-ET
HOUSA000063285259,A-ELSBERND BUCK TACO CRI-ET
HOUSA000138004857,A-ELSBERND BK-I BOYEROLD-ET
HOUSA000063026162,TRUE-BLUE ELWOOD-ET
HOUSA000063026159,TRUE-BLUE ELIXIR-ET
HOUSA000064509309,OAKLEIGH ALTAHOKA-RED-ET
HOUSA000136830908,LAKE-EFFECT ALTACOLTON-ET
HOUSA000136978529,LAKE-EFFECT COOPER-ET
HOUSA000136830917,LAKE-EFFECT PS CAMMO-ET
HOUSA000060181756,TOLLENAARS MEASURE 41-ET
HOUSA000060181758,TOLLENAARS MEMOIRS 43-ET
HOUSA000061929330,TOLLENAARS POTTER MILLER314
HOUSA000060181755,TOLLENAARS MASON 40-ET
HOUSA000061929290,TOLLENAARS MERIT274-ET
HOUSA000063022654,KEVREL OMAN MEMPHIS
HOUSA000065439898,SPRINGHILL-OH C CROW-ET
HOUSA000062866117,MR TIGER-LILY ALTACASINO
HOUSA000063031801,ROYOLA ALTAJETPACK-ET
HOUSA000138581097,HEN-LO BELLAMY-ET
HOUSA000062617777,ANGELROSE TARO-ET
HOUSA000064541701,CO-OP JETSTREAM KARIM-ET
HOUSA000064541615,LE-RO-DA TSTRY ROSS CRI-ET
HOUSA000138276539,LE-RO-DA TOYSTORY RANDAL-ET
HOUSA000063192398,PLUSHANSKI BOLTON FARBOLT
HOUSA000137262599,BRANDT-VIEW MARCELLUS-ET
HOUSA000062067747,RI-VAL-RE MALTO-ET
HOUSA000071764609,AURORA ROCKETMAN
HOUSA000058903919,MELARRY SUPERSIRE MATCH-ET
HOUSA000142142547,HICKORYMEA PARK TREY-PP-ET
HOUSA000066527722,LE-O-LA TAO
HOUSA000070712284,SYRYCZUK ALTATAYZER-ET
HOUSA000070712294,SYRYCZUK O-STYLE TICO-ET
HOUSA000055967108,CREEK ALTAMCQUEEN
HOUSA000070136022,BROEKS BELIEVE-ET
HOUSA000071813244,DE-SU OGIMA 11658-ET
HOUSA000055969443,CREEK ALTAKID-RED-ET
HOUSA000070197846,BRANDT-VIEW ALTAPROSTYLE
HOUSA000070346572,SPRUCE-HAVEN ALTAFASTNET
HOUSA000071074487,BOMAZ ALTAPARDON-ET
HOUSA000070694555,ROSYLANE-LLC ALTASENATE
HOUSA000071630765,SPRUCE-HAVEN BARRY-ET
HOUSA000071864240,SYNERGY PRIME-ET
HOUSA000072231512,BEN-AKERS LUMAS-ET
HOUSA000072851593,DE-SU JUMPY-ET
HO840003013001477,CO-OP BELUGA TANTOR-ET
HO840003013001490,CO-OP JABIR TRANSFORMER-ET
HOUSA000055969441,CREEK CO-P KODAK-P-ET
HOUSA000071864244,SYNERGY ALTAPARQUET-ET
HOUSA000071864267,SYNERGY ALTASYMPHONY-ET
HOUSA000056650817,REGELCREEK SS MAGNUM-ET
HOUSA000071864193,SYNERGY PULASKI-ET
HOUSA000071630839,SPRUCE-HAVEN EPIC BUGSY-ET
HOUSA000071630846,SPRUCE-HAVEN BROCKWAY-ET
HOUSA000071451905,CO-OP MINTMAKER TROOPER-ET
HOUSA000071451906,CO-OP MINTMAKER TRIVIA-ET
HO840003011816244,CO-OP TOP NOTCH-ET
HOUSA000071451893,CO-OP MINTMAKER TALISMAN-ET
HOUSA000070579604,WEIGELINE ALTASALUT-ET
HOUSA000072531549,ZAHBULS AVIATOR-ET
HOUSA000073345053,OKDS YOWZA MOROCCO-ET
HOUSA000070625905,DE-SU ALTASHELBY-ET
HOUSA000069529159,REGEL ALTATOPROCK
HOUSA000072110090,NEWELL 3039 KING-P-ET
HOUSA000072596773,MR FARNEAR IMPULSE-P-ET
HOUSA000071588443,BOMAZ ALTACAZADOR-ET
HOUSA000071588454,BOMAZ ALTABIGGAME-ET
HOUSA000071074514,BOMAZ ARM PIZZAZZ 1383-ET
HOUSA000071942845,GUIDED-PATH SS ABBOTT
HOUSA000071074520,BOMAZ ALTAARMANI-ET
HO840003011816338,CO-OP AVENGER-ET
HOUSA000072731048,SPRUCE-HAVEN SHERIDAN-ET
HOUSA000071286351,HAR-DALE-ACRES-JP ALTACR-ET
HOUSA000071667900,MATT-DARI MOGUL FLYNN-ET
HOUSA000070662873,LANGS-TWIN-B SANTERI-ET
HOUSA000070662908,LANGS-TWIN-B PRIOR 4995-ET
HO840003011001491,FUSTEAD SSI SS SOLO-ET
