reg_id,inbreeding
HOCAN000007293789,5.11
HOCAN000102618633,10.29
BSUSA000000195440,7.83
BSCHE120033040506,4.24
BSCHE120030562667,4.22
BSCHE120083025164,7.5
BSCHE120008581270,4.37
BSCHE120081082091,9.54
BSCHE120047322629,8.63
BSCHE120067151698,5.59
BSCHE120094290070,5.38
BSUSA000068133750,10.53
BSCHE120055270318,6.16
HOCZE000653682021,4.82
HOCZE000050561061,7.06
BSUSA000000193464,4.48
BSCHE120026607112,4.13
HODEU000578448776,4.42
HODEU000341937731,6.26
HODEU000000297344,4.28
HODEU000577604324,3.4
HODEU000342541569,4.65
HODEU000579596120,5.17
HODEU000112647626,4.87
HODEU000345515658,4.54
HONLD000330728021,7.01
HODEU001601470067,9.31
HODEU000749303742,5.9
HONLD000437563550,4.56
HONLD000437289942,7.07
HODEU000344997768,4.49
BSDEU000813034326,4.75
BSDEU000662710091,2.15
BSCHE120062191231,2.58
BSDEU000943501954,1.81
BSUSA000000192454,2.26
BSDEU000935830301,1.15
BSDEU000942089722,2.7
BSUSA000000197448,9.19
HODEU000347136242,5.75
HONLD000388800353,7.22
HODEU000349747180,6.52
JEDNK000000300030,0.35
JEDNK000000301136,2.55
JEDNK000000301191,26.71
JEDNK000000301607,1.12
JEDNK000000301617,1.84
JEDNK000000302379,2.28
JEDNK000000302098,4.06
JEDNK000000302739,2.25
JEDNK000000302712,2.2
JEDNK000000302265,3.26
JEDNK000000302146,6.94
JEDNK000000302465,2.32
JEDNK000000302378,2.16
JEDNK000000302468,1.86
JEDNK000000302606,5.03
JEDNK000000302595,2.11
JEDNK000000302229,2.75
JEDNK000000302730,5.43
JEDNK000000302761,3.43
JEDNK000000303259,6.94
JEDNK000000302732,7.34
JEDNK000000303273,4.67
JEDNK005344803387,2.77
JEDNK000000049511,0.2
JEDNK000000300727,0.07
JEDNK000000301567,1.04
JEDNK000000301515,0.27
JEDNK000000300948,0.23
JEDNK000000300003,0.02
HODNK000000258170,11.01
HODNK000000251114,5.63
HOUSA000068656297,4.63
HODNK000000246585,4.82
HODNK000000250087,7.07
HODNK000000251677,5.65
AYFIN000000041319,0.48
AYFIN000000041531,3.64
AYFIN000000041713,0
AYFIN000000041323,0.27
AYFIN000000041611,0.2
AYFIN000000043311,0.41
AYFIN000000041333,0.27
AYFIN000000041785,1.07
HOFIN000000092980,4.14
HOFIN000009773756,5.89
HOFRA005092011829,10.14
HOITA001000036790,11.64
HOITA000802016745,4.38
HOITA003804039584,4.41
HOFRA003297000948,3.81
HOFRA005360661767,3.89
HOFRA000102402264,10.84
HOFRA007253842080,5.07
HOFRA002929952225,5.76
HOFRA007655430318,5.48
HOFRA008602082972,6.89
HOFRA003554771600,4.69
HOFRA002228044371,3.89
HOFRA007297006288,2.86
HOFRA007627604532,5.56
HOFRA002224159293,6.08
HOFRA005802502168,6.79
HOFRA001445852240,9.67
HOFRA001442331853,5.75
HOFRA002941264883,5.64
HOFRA006125091132,9.87
HOFRA001442679463,6.18
HOFRA007811722061,5.14
HOFRA008501200355,6.47
HOFRA004477604571,6.65
HOFRA005800799711,6.3
HOFRA002941264780,6.47
HOFRA002214546100,5.45
HOFRA002228133069,8.95
HOFRA005625542724,5.01
HOFRA002941264332,4.81
HOCHE120065814601,9.44
HOFRA007627604810,6.32
HONLD000751487334,8.62
HOFRA005355014337,6.03
HOFRA008501200227,7.67
HOFRA007638219466,5.46
HOFRA002216979021,6.46
HOFRA002216979121,4.34
HOFRA002997025017,3.55
HOFRA005500307032,5.54
HOFRA002720021737,9.24
HOFRA004934530136,5.72
HOFRA005372742239,5.54
HODEU000350264580,5.16
HOFRA002224159330,4.33
HOFRA003704258147,5.69
HOFRA002941260047,5.49
HOFRA004952815479,5.04
HOFRA002141062352,5.59
HOFRA002941260237,4.89
HOFRA003704250472,5.35
HOFRA001445852449,5.05
HOFRA002921632841,5.01
HOFRA004240802364,5.39
JEGBR000000001556,10.21
AYGBR000006180464,5.25
HOGBR000000615833,9.36
HOGBR000000603027,2.73
AYGBR000006180947,3.17
HOGBR000000572073,7.01
HOCAN000007484367,5.75
HOCAN000007484366,6.72
HOGBR000000616605,5.26
HOGBR000000604656,6.26
HOGBR000000627769,12.02
HOCAN000007528915,4.74
HOGBR000000604613,4.17
HOGBR000000604042,3.95
HOGBR000000630782,6.77
HOGBR000000631224,7.13
BSITAPN0000105557,4.16
BSUSA000000192483,3.06
BSUSA000000192805,2.76
BSUSA000000193247,4.42
BSUSA000000195762,3.55
BSITA024000009299,4.34
BSUSA000000196031,2.77
HOITA001600023284,2.4
HOITA001119012195,4.28
HOITA020500134339,5.68
HOITA019500274750,5.24
HODEU000341037501,1.44
HOITA003804047071,1.62
HOITA003805002265,1.62
HOITA000908017670,7.83
HOITA003604039709,4.28
HOITA000601045311,5.15
HOITA000601040506,5.02
HOCAN000009240821,6.25
HOITA001214044953,4.03
HOITA098500085289,7.18
HOITA019500316571,6.06
HOITA033000137931,4.15
HOITA098500176224,6.4
HOITA015520096684,6.63
HONLD000438266085,3.54
HOITA019500394688,5.25
HOITA251099028156,4.71
HOITA058990139475,6.19
HOITA017990676913,6.05
HOITA015990047678,7.23
HOITA019500423669,5.81
BSITASO0000129800,6.88
BSUSA000000195001,1.82
HOITA004900208950,6.69
HONLD000425598456,6.68
BSITA024000020485,2.77
BSITABZ0000417300,3.5
BSITA021001051500,3.79
HOLUX000199246933,7.68
HONLD000443684324,5.28
HONLD000848764843,0.99
HONLD000202428505,5.23
HONLD000172016131,3.28
HOITA001120042608,5.16
HONZL000000095223,1.96
HONLD000264152798,10.48
HONLD000234851733,4.31
HONLD000265988233,6.02
HONLD000167388760,12.41
HONLD000168720398,13.86
HOITA000909021802,5.38
HONLD000175432190,3.99
HOITA000401041738,5.29
HOCAN000010640649,4.41
HONLD000275943862,8.07
HONLD000229876877,10.46
HONLD000222863168,3.31
HONLD000355844265,4.37
HONLD000209848205,3.57
HONLD000188430563,4.96
HOGBR000000598706,6.06
HONLD000216745209,5.48
HONLD000198978857,3.11
HONLD000266400219,4.5
HONLD000272173125,5.12
HONLD000189513757,2.42
HONLD000140459582,1.9
HONLD000271949424,5.8
HONLD000340267130,7.53
HONLD000372614027,4.5
HONLD000414570296,4.9
HONLD000422655859,6.6
HONLD000359506972,5.84
HONLD000343349145,6.61
HONLD000278444856,3.85
HONLD000353588796,6.06
HONLD000334377810,3.44
HONLD000292910890,7.23
HONLD000441659399,7.81
HONLD000925209469,5.09
HONLD000298635913,5.96
HOCAN000009388124,4.83
HONLD000329293291,5.96
HONLD000278766123,5.46
HONLD000443771981,5.33
HONLD000431424910,3.92
HONLD000442123523,4.77
HONLD000429390313,6.25
HONLD000347788816,2.44
HONLD000712321327,5.16
